name_ar,name_en,sector,region,classification,matched_pattern,confidence,website
مصنع جمجوم للأدوية,Jamjoom Pharma,الرعاية الصحية وعلوم الحياة,منطقة مكة المكرمة,private,default,low,https://www.jamjoompharma.com
الشركة الوطنية للشراء الموحد للأدوية,NUPCO,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://nupco.com
مستشفيات المانع العامة,Almana General Hospitals,الرعاية الصحية وعلوم الحياة,المنطقة الشرقية,private,default,low,https://almanahospital.com.sa
مركز جونز هوبكنز أرامكو الطبي,JHAH,القطاع الحكومي والعام,المنطقة الشرقية,semi_government,semi:أرامكو,high,https://www.jhah.com
مستشفى الملك فيصل التخصصي ومركز الأبحاث,KFSH&RC,الرعاية الصحية وعلوم الحياة,منطقة الرياض,semi_government,semi:مستشفى الملك فيصل التخصصي,high,https://www.kfshrc.edu.sa
الشركة السعودية للصناعات العسكرية,SAMI,الدفاع والطيران والفضاء,منطقة الرياض,semi_government,semi:الشركة السعودية للصناعات العسكرية,high,https://www.sami.com.sa
الهيئة العامة للصناعات العسكرية,GAMI,الدفاع والطيران والفضاء,منطقة الرياض,government,gov:الهيئة العامة للصناعات العسكرية,high,https://www.gami.gov.sa
الهيئة العامة للتطوير الدفاعي,GADD,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.gadd.gov.sa
المؤسسة العامة للصناعات العسكرية,MIC,الدفاع والطيران والفضاء,منطقة الرياض,government,gov:المؤسسة العامة,high,https://www.mic.gov.sa
شركة الإلكترونيات المتقدمة,SAMI AEC,الدفاع والطيران والفضاء,منطقة الرياض,private,private_override:الإلكترونيات المتقدمة,high,https://www.samiaec.com
شركة السلام لصناعة الطيران,Alsalam Aerospace,الخدمات اللوجستية والنقل,منطقة الرياض,private,default,low,https://www.alsalam.aero
الشركة الوطنية للأنظمة الميكانيكية,NCMS,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.ncms.sa
شركة انترا للتقنيات الدفاعية,INTRA Defense,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.intradefense.com
سامي نافانتيا للصناعات البحرية,SAMI-Navantia,الدفاع والطيران والفضاء,منطقة الرياض,semi_government,semi:سامي,high,https://saminavantia.com.sa
الشركة السعودية للصناعات الكيميائية,Saudi Chemical,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://saudichemical.com
بي إيه إي سيستمز السعودية,BAE Systems Saudi Arabia,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.baesystems.com
لوكهيد مارتن السعودية,Lockheed Martin Saudi Arabia,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.lockheedmartin.com
تاليس السعودية,Thales Saudi Arabia,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.thalesgroup.com
شركة بوينغ السعودية,Boeing Saudi Arabia,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.boeing.sa
ريثيون السعودية - آر تي إكس,Raytheon - RTX,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.rtx.com
شركة مشاريع الترفيه السعودية,SEVEN,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://seven.sa
شركة صلة,Sela,الترفيه والرياضة والإعلام,منطقة مكة المكرمة,private,default,low,https://sela.sa
مجموعة سافي للألعاب الإلكترونية,Savvy Games Group,الترفيه والرياضة والإعلام,منطقة الرياض,semi_government,semi:سافي للألعاب,high,https://savvygames.com
شركة القدية للاستثمار,Qiddiya,الخدمات المالية,منطقة الرياض,semi_government,semi:القدية,high,https://qiddiya.com
شركة سرج للاستثمارات الرياضية,SRJ Sports Investments,الخدمات المالية,منطقة الرياض,private,default,low,https://srjsports.com
الهيئة العامة للترفيه,GEA,القطاع الحكومي والعام,منطقة الرياض,government,gov:الهيئة العامة للترفيه,high,https://www.gea.gov.sa
وزارة الرياضة,Ministry of Sport,الترفيه والرياضة والإعلام,منطقة الرياض,government,gov:وزارة,high,https://www.mos.gov.sa
الاتحاد السعودي للرياضات الإلكترونية,SEF,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://saudiesports.sa
مدل بيست,MDLBEAST,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://mdlbeast.com
موفي سينما,muvi Cinemas,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://www.muvicinemas.com
جولف السعودية,Golf Saudi,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://www.golfsaudi.com
أكاديمية مهد الرياضية,Mahd Sports Academy,الترفيه والرياضة والإعلام,منطقة الرياض,semi_government,semi:أكاديمية مهد,high,https://mahdacademy.sa
مجموعة فقيه للترفيه,Tarfeeh Fakieh,الترفيه والرياضة والإعلام,منطقة مكة المكرمة,private,default,low,https://www.tarfeehfakieh.com
فوكس سينما السعودية,VOX Cinemas KSA,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://ksa.voxcinemas.com
نادي الهلال السعودي,Al-Hilal Saudi Club,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://alhilal.com
شركة أكوا باور,ACWA Power,الطاقة والمرافق والمياه,منطقة الرياض,private,default,low,https://www.acwapower.com
الشركة السعودية للكهرباء,SEC,الطاقة والمرافق والمياه,منطقة الرياض,semi_government,semi:الشركة السعودية للكهرباء,high,https://www.se.com.sa
شركة المياه الوطنية,NWC,الطاقة والمرافق والمياه,منطقة الرياض,semi_government,semi:شركة المياه الوطنية,high,https://www.nwc.com.sa
إينوا - شركة نيوم للطاقة والمياه,ENOWA,الطاقة والمرافق والمياه,منطقة تبوك,semi_government,semi:نيوم,high,https://enowa.neom.com
شركة مرافق,Marafiq,الطاقة والمرافق والمياه,المنطقة الشرقية,private,default,low,https://www.marafiq.com.sa
الشركة السعودية لشراكات المياه,SWPC,الطاقة والمرافق والمياه,منطقة الرياض,semi_government,semi:الشركة السعودية لشراكات المياه,high,https://www.swpc.sa
شركة نقل وتقنيات المياه,WTTCO,الطاقة والمرافق والمياه,منطقة الرياض,private,default,low,https://wttco.com
شركة الفنار,Alfanar,الطاقة والمرافق والمياه,منطقة الرياض,private,default,low,https://www.alfanar.com
شركة تقنيات الصحراء,Desert Technologies,الطاقة والمرافق والمياه,منطقة مكة المكرمة,private,default,low,https://desert-technologies.com
الخريّف لتقنية المياه والطاقة,AWPT,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.awpt.com.sa
الشركة السعودية لتبريد المناطق,Saudi Tabreed,الطاقة والمرافق والمياه,المنطقة الشرقية,private,default,low,https://sauditabreed.com
مدينة الملك سلمان للطاقة,SPARK,الطاقة والمرافق والمياه,المنطقة الشرقية,private,default,low,https://www.spark.sa
شركة فاس للطاقة,FAS Energy,الطاقة والمرافق والمياه,منطقة الرياض,private,default,low,https://www.fasenergy.com
فيجن إنفست,Vision Invest,الطاقة والمرافق والمياه,منطقة الرياض,private,default,low,https://visioninvest.com
سيمنز للطاقة السعودية,Siemens Energy Saudi Arabia,الطاقة والمرافق والمياه,منطقة الرياض,private,default,low,https://www.siemens-energy.com
شركة التعدين العربية السعودية - معادن,Ma'aden,التعدين والمعادن والمواد,منطقة الرياض,semi_government,semi:معادن,high,https://www.maaden.com.sa
شركة المصانع الكبرى للتعدين - أماك,AMAK,التعدين والمعادن والمواد,منطقة نجران,private,default,low,https://www.amak.com.sa
الشركة السعودية للحديد والصلب - حديد,Hadeed,التعدين والمعادن والمواد,المنطقة الشرقية,private,default,low,https://www.hadeed.com.sa
شركة الراجحي للصناعات الحديدية,Al Rajhi Steel,التعدين والمعادن والمواد,منطقة الرياض,private,default,low,https://www.alrajhisteel.com
شركة الزامل للحديد,Zamil Steel,التعدين والمعادن والمواد,المنطقة الشرقية,private,default,low,https://www.zamilsteel.com
شركة الاتفاق للصناعات الحديدية,ISPC,التعدين والمعادن والمواد,المنطقة الشرقية,private,default,low,https://www.ispc.com.sa
أرسيلور ميتال الجبيل,ArcelorMittal Jubail,التعدين والمعادن والمواد,المنطقة الشرقية,private,default,low,https://jubail.arcelormittal.com
الشركة السعودية لأنابيب الصلب,Saudi Steel Pipe - SSP,التعدين والمعادن والمواد,المنطقة الشرقية,private,default,low,https://www.sspipe.com
شركة صلب ستيل,Solb Steel,التعدين والمعادن والمواد,منطقة جازان,private,default,low,https://www.solbsteel.com
الشركة العالمية لطلاء المعادن - يونيكويل,UNICOIL,النفط والغاز والبتروكيماويات,المنطقة الشرقية,private,private_override:يونيكويل,high,https://www.unicoil.com.sa
مسبك السعودية - سعودي كاست,Saudi Cast,التعدين والمعادن والمواد,منطقة الرياض,private,default,low,https://www.saudicast.com
الشركة الوطنية لصناعة الأنابيب,National Pipe Company,التعدين والمعادن والمواد,المنطقة الشرقية,private,default,low,https://www.npc.com.sa
شركة نيوم,NEOM,العقار والتطوير الحضري,منطقة تبوك,semi_government,semi:نيوم,high,https://www.neom.com
البحر الأحمر الدولية,Red Sea Global,العقار والتطوير الحضري,منطقة الرياض,semi_government,semi:البحر الأحمر الدولية,high,https://www.redseaglobal.com
شركة الدرعية,Diriyah Company,العقار والتطوير الحضري,منطقة الرياض,semi_government,semi:شركة الدرعية,high,https://www.diriyahcompany.sa
مجموعة روشن,ROSHN Group,العقار والتطوير الحضري,منطقة الرياض,semi_government,semi:روشن,high,https://www.roshn.sa
شركة المربع الجديد,New Murabba,العقار والتطوير الحضري,منطقة الرياض,private,default,low,https://www.newmurabba.com
شركة رؤى المدينة القابضة,Rua Al Madinah,العقار والتطوير الحضري,منطقة المدينة المنورة,private,default,low,https://www.ruaalmadinah.com
شركة تطوير وسط جدة,Jeddah Central,العقار والتطوير الحضري,منطقة مكة المكرمة,private,default,low,https://www.jeddahcentral.com
شركة داون تاون السعودية,Saudi Downtown,العقار والتطوير الحضري,منطقة الرياض,private,default,low,https://www.saudidowntown.com.sa
إدارة مركز الملك عبدالله المالي,KAFD,العقار والتطوير الحضري,منطقة الرياض,private,default,low,https://www.kafd.sa
مدينة محمد بن سلمان غير الربحية,Misk City,التقنية والاقتصاد الرقمي,منطقة الرياض,semi_government,semi:MiSK,high,https://www.miskcity.sa
دار الأركان للتطوير العقاري,Dar Al Arkan,العقار والتطوير الحضري,منطقة الرياض,private,private_override:دار الأركان,high,https://www.daralarkan.com
شركة جبل عمر للتطوير,Jabal Omar,العقار والتطوير الحضري,منطقة مكة المكرمة,private,private_override:جبل عمر,high,https://www.jabalomar.com.sa
الشركة العقارية السعودية,Al Akaria,العقار والتطوير الحضري,منطقة الرياض,private,default,low,https://www.alakaria.com
ريتال للتطوير العمراني,Retal,العقار والتطوير الحضري,المنطقة الشرقية,private,private_override:ريتال للتطوير العمراني,high,https://www.retal.com.sa
شركة كينان الدولية للتطوير العقاري,Kinan,العقار والتطوير الحضري,منطقة مكة المكرمة,private,private_override:كينان الدولية,high,https://www.kinan.com.sa
الهيئة العامة للطيران المدني,GACA,الخدمات اللوجستية والنقل,منطقة الرياض,government,gov:الهيئة العامة للطيران المدني,high,https://gaca.gov.sa
مجموعة السعودية,Saudia Group,الخدمات اللوجستية والنقل,منطقة مكة المكرمة,semi_government,semi:مجموعة السعودية,high,https://www.saudia.com
طيران أديل,flyadeal,الخدمات اللوجستية والنقل,منطقة مكة المكرمة,semi_government,semi:طيران أديل,high,https://www.flyadeal.com
شركة مطارات الرياض,Riyadh Airports,الخدمات اللوجستية والنقل,منطقة الرياض,private,default,low,https://www.riyadhairports.com
شركة مطارات جدة,Jeddah Airports,الخدمات اللوجستية والنقل,منطقة مكة المكرمة,private,default,low,https://jeddahairports.sa
شركة مطارات الدمام,DACO,الخدمات اللوجستية والنقل,المنطقة الشرقية,private,default,low,https://daco.sa
شركة تجمع مطارات الثاني,Cluster 2,الخدمات اللوجستية والنقل,منطقة الرياض,private,default,low,https://cluster2.sa
شركة الطائرات المروحية,THC,الخدمات اللوجستية والنقل,منطقة الرياض,private,default,low,https://www.thehelicoptercompany.com.sa
خدمات الملاحة الجوية السعودية,SANS,الخدمات اللوجستية والنقل,منطقة مكة المكرمة,private,default,low,https://sans.com.sa
السعودية لهندسة الطيران,Saudia Technic,التشييد والهندسة والبنية التحتية,منطقة مكة المكرمة,semi_government,semi:السعودية لهندسة الطيران,high,https://saudiatechnic.com
الشركة السعودية للخدمات الأرضية,SGS,الخدمات اللوجستية والنقل,منطقة مكة المكرمة,private,default,low,https://www.saudiags.com
أكاديمية الأمير سلطان لعلوم الطيران,PSAA,التعليم وتنمية رأس المال البشري,منطقة مكة المكرمة,private,default,low,https://psaa.com.sa
شركة آلات للصناعات المتقدمة,Alat,الصناعة والتصنيع,منطقة الرياض,private,default,low,https://alat.com
مكتبة جرير,Jarir Bookstore,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://www.jarir.com
سينومي ريتيل,Cenomi Retail,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://www.cenomiretail.com
أسواق عبدالله العثيم,Abdullah AlOthaim Markets,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://www.alothaimmarkets.com
شركة بنده للتجزئة,Panda Retail Company,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة مكة المكرمة,private,default,low,https://panda.com.sa
إكسترا - الشركة المتحدة للإلكترونيات,eXtra,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,المنطقة الشرقية,private,default,low,https://www.extra.com
بن داود القابضة,BinDawood Holding,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة مكة المكرمة,private,default,low,https://www.bindawoodholding.com
ساكو - الشركة السعودية للعدد والأدوات,SACO,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://www.saco.sa
السيف غاليري,Alsaif Gallery,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://alsaifgallery.com
أمازون السعودية,Amazon KSA,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://www.amazon.sa
شركة نون,noon,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://www.noon.com
شركة جاهز الدولية,Jahez,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://www.jahez.net
هنقرستيشن,HungerStation,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://hungerstation.com
تطبيق نعناع,Nana,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://www.nana.sa
منصة زد للتجارة الإلكترونية,Zid,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://zid.sa
نايس ون,Nice One,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://niceonesa.com
شركة المراعي,Almarai,الغذاء والزراعة والاستزراع المائي,منطقة الرياض,private,default,low,https://www.almarai.com
الشركة الوطنية للتنمية الزراعية - نادك,NADEC,الغذاء والزراعة والاستزراع المائي,منطقة الرياض,private,default,low,https://www.nadec.com
مجموعة صافولا,Savola Group,الغذاء والزراعة والاستزراع المائي,منطقة مكة المكرمة,private,default,low,https://www.savola.com
الشركة السعودية للاستثمار الزراعي والإنتاج الحيواني,SALIC,الخدمات المالية,منطقة الرياض,private,default,low,https://salic.com
الشركة السعودية لمنتجات الألبان والأغذية,SADAFCO,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة مكة المكرمة,private,default,low,https://www.sadafco.com
شركة التنمية الغذائية,Tanmiah Food Company,الغذاء والزراعة والاستزراع المائي,منطقة الرياض,private,default,low,https://www.tanmiah.com
شركة دواجن الوطنية,Al Watania Poultry,الغذاء والزراعة والاستزراع المائي,منطقة القصيم,private,default,low,https://www.al-watania.com
شركة أراسكو,ARASCO,الغذاء والزراعة والاستزراع المائي,منطقة الرياض,private,default,low,https://www.arasco.com
شركة المنجم للأغذية,Almunajem Foods,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://almunajemfoods.com
شركة الجوف للتنمية الزراعية,JADCO,الغذاء والزراعة والاستزراع المائي,منطقة الجوف,private,default,low,https://www.aljouf.com.sa
حلواني إخوان,Halwani Bros,الغذاء والزراعة والاستزراع المائي,منطقة مكة المكرمة,private,default,low,https://www.halwani.com.sa
مزارع فقيه للدواجن,Fakieh Farms,الغذاء والزراعة والاستزراع المائي,منطقة مكة المكرمة,private,default,low,https://www.fakiehfarms.com
شركة الربيع السعودية للأغذية,Al Rabie,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://www.alrabie.com
شركة ندى للألبان,Nada Dairy,الغذاء والزراعة والاستزراع المائي,المنطقة الشرقية,private,default,low,https://www.nadadairy.com
شركة قودي,Goody,الغذاء والزراعة والاستزراع المائي,منطقة مكة المكرمة,private,default,low,https://www.goody.com.sa
شركة سير للسيارات,Ceer Motors,السيارات والتنقل,منطقة الرياض,private,default,low,https://ceermotors.com
لوسيد موتورز السعودية,Lucid Motors Saudi Arabia,السيارات والتنقل,منطقة الرياض,private,default,low,https://lucidmotors.com
مجموعة الزامل للصناعة,Zamil Industrial,الصناعة والتصنيع,المنطقة الشرقية,private,default,low,https://www.zamilindustrial.com
شركة الخزف السعودي,Saudi Ceramics,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.saudiceramics.com
مجموعة كابلات الرياض,Riyadh Cables Group,التعدين والمعادن والمواد,منطقة الرياض,private,default,low,https://www.riyadh-cables.com
شركة الشرق الأوسط لصناعة وإنتاج الورق,MEPCO,الصناعة والتصنيع,منطقة مكة المكرمة,private,default,low,https://www.mepco.biz
شركة بوان,Bawan Company,الصناعة والتصنيع,منطقة الرياض,private,default,low,https://www.bawan.com.sa
مجموعة أسترا الصناعية,Astra Industrial Group,الصناعة والتصنيع,منطقة الرياض,private,default,low,https://www.astra.com.sa
مجموعة شاكر,Shaker Group,الصناعة والتصنيع,منطقة الرياض,private,default,low,https://www.shaker.com.sa
مجموعة العبيكان للاستثمار,Obeikan Investment Group,الخدمات المالية,منطقة الرياض,private,default,low,https://www.obeikan.com.sa
